schema_version,case_id,case_family,n_qubits,actual_n_qubits,benchmark_n_qubits,actual_n_qubits_source,actual_n_qubits_warning,matched_repeat_count,timing_scope,cpu_simulation_compute_time_s_median,gpu_simulation_compute_time_s_median,compute_speedup_cpu_over_gpu_median,cpu_total_wall_time_s_median,gpu_total_wall_time_s_median,wall_time_ratio_cpu_over_gpu_median,gpu_device_name
research_benchmark_pack_v1,quest_hs_10q_research_perf,hs,10,10,10,n_qubits,,5,performance_compute,0.041301438,0.045119047,0.832726204142647,0.04797910200068145,0.09186058599880198,0.430107292279958,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_12q_research_perf,hs,12,12,12,n_qubits,,5,performance_compute,0.047026215,0.109824896,0.42372853255467935,0.05384625799706555,0.59338076199856,0.09311618542754148,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_14q_research_perf,hs,14,14,14,n_qubits,,5,performance_compute,0.094808354,0.12907505,0.7115659224510571,0.11608950200024992,0.6005280229983327,0.1824339554542726,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_16q_research_perf,hs,16,16,16,n_qubits,,5,performance_compute,0.126938506,0.162929773,0.7648232199736579,0.13277413299874752,0.6372170050017303,0.20742034471425824,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_4q_research_perf,hs,4,4,4,n_qubits,,5,performance_compute,0.006327945,0.007324934,0.8638910603153557,0.011590514997806167,0.05112720200122567,0.23228743694550938,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_6q_research_perf,hs,6,6,6,n_qubits,,5,performance_compute,0.008916801,0.011236906,0.8622966143883379,0.015371194000181276,0.056504015999962576,0.27198544891233994,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_hs_8q_research_perf,hs,8,8,8,n_qubits,,5,performance_compute,0.020280618,0.047708035,0.6460244779381957,0.04021963299965137,0.09187043800193351,0.40978016845609866,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_10q_research_perf,qrng,10,10,10,n_qubits,,5,performance_compute,0.004537751,0.005042076,0.8346836166375328,0.009960110000974964,0.050273791999643436,0.1981173411594973,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_12q_research_perf,qrng,12,12,12,n_qubits,,5,performance_compute,0.00615505,0.026457071,0.23464149792737618,0.011777433999668574,0.48857463500098675,0.024118888198842597,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_qrng_14q_research_perf,qrng,14,14,14,n_qubits,,5,performance_compute,0.019135129,0.032396793,0.5906488645342148,0.040468250001140404,0.5047774049999134,0.07826059707591299,AMD Radeon RX 6600 (gfx1032)
