schema_version,suite_id,case_id,route_id,benchmark_role,validation_status,status,unsupported_task_count,resource_skip_reason,warnings
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,qrng_17q_thesis_upmem_feasibility_boundary,upmem_tn_runtime,strict_upmem_sdk_simulator_generic,skipped,unsupported,1,generic_feasibility_rank_cap_exceeded,sdk_simulator_not_hardware_speedup
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,qrng_17q_thesis_upmem_feasibility_boundary,upmem_tn_runtime,strict_upmem_sdk_simulator_generic,skipped,unsupported,1,generic_feasibility_rank_cap_exceeded,sdk_simulator_not_hardware_speedup
