schema_version,run_id,suite_id,case_id,case_family,n_qubits,actual_n_qubits,benchmark_n_qubits,actual_n_qubits_source,actual_n_qubits_warning,repeat_id,route_id,policy,same_route_comparison,same_taskgraph,same_kernel_family,unquantized_total_wall_time_s,quantized_total_wall_time_s,unquantized_host_residual_time_s,quantized_host_residual_time_s,route_runtime_ratio_none_over_quantized,unquantized_simulation_compute_time_s,quantized_simulation_compute_time_s,simulator_kernel_ratio_none_over_quantized,unquantized_transfer_bytes,quantized_transfer_bytes,transfer_ratio_none_over_quantized,unquantized_max_abs_error_vs_full_precision,quantized_max_abs_error_vs_full_precision,unquantized_execution_max_abs_error,quantized_execution_max_abs_error,unquantized_full_precision_max_abs_error,quantized_full_precision_max_abs_error,accuracy_delta_quantized_minus_unquantized,native_unquantized_upmem_kernel_executed
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,bb84_4q_thesis_upmem,bb84,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.012329490004049,2.0228422559957835,1.9838951229976374,1.9943664589955006,0.9947495426677315,0.028434367006411776,0.02847579700028291,0.998545080446011,7012.0,6948.0,1.0092112838226828,5.960464460885717e-08,1.1102230246251565e-16,0.0,0.0,5.960464460885717e-08,1.1102230246251565e-16,-5.960464449783487e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,bb84_5q_thesis_upmem,bb84,5,5,5,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.467534509996767,2.4942062469999655,2.43174610400456,2.4591716199938674,0.9888476608276019,0.03578840599220712,0.03503462700609816,1.021515256491178,8660.0,8564.0,1.0112097150864081,5.960464460885717e-08,1.1102230246251565e-16,0.0,0.0,5.960464460885717e-08,1.1102230246251565e-16,-5.960464449783487e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,bb84_6q_thesis_upmem_boundary,bb84,6,6,6,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.8927840940013994,2.93808834200172,2.850615980984003,2.8957983719956246,0.9843972593366421,0.042168113017396536,0.042289970006095245,0.9971185368851965,10404.0,10268.0,1.0132450331125828,6.565545318526489e-08,1.1102230246251565e-16,0.0,0.0,6.565545318526489e-08,1.1102230246251565e-16,-6.565545307424259e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,bv_3q_thesis_upmem,bv,3,3,3,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.0496846009991714,2.013415873996564,2.0211207719912636,1.9853662050154526,1.0180090538891453,0.02856382900790777,0.02804966898111161,1.0183303420493979,7084.0,6948.0,1.019573978123201,1.3131090637052978e-07,2.220446049250313e-16,0.0,0.0,1.3131090637052978e-07,2.220446049250313e-16,-1.3131090614848517e-07,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,bv_4q_thesis_upmem,bv,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.8979851840049378,2.917317193998315,2.8553412390101585,2.8754955020121997,0.9929910295502331,0.042643944994779304,0.041821691986115184,1.0196609216321786,10388.0,10116.0,1.0268880980624753,1.909155510348981e-07,3.3306690738754696e-16,0.0,0.0,1.909155510348981e-07,3.3306690738754696e-16,-1.909155507018312e-07,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,edc_4q_thesis_upmem,edc,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,1.7953915799953393,1.7967298150033457,1.7688138699886622,1.7705833010040806,0.9990006507943371,0.02657771000667708,0.026146513999265153,1.0164915295180095,6576.0,6304.0,1.0431472081218274,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,edc_5q_thesis_upmem_boundary,edc,5,5,5,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.248922924998624,2.2438576409986126,2.2148982449944015,2.2104437300149584,1.00201521301762,0.03402468000422232,0.033413910983654205,1.0182788845300659,8384.0,7992.0,1.049049049049049,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,ghz_4q_thesis_upmem,ghz,4,4,4,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,1.5871118319992092,1.582729499998095,1.563550106002367,1.5595608969961177,1.0025579052500824,0.023561725996842142,0.023168603001977317,1.0169679196812718,5788.0,5532.0,1.0462762111352133,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,ghz_5q_thesis_upmem_boundary,ghz,5,5,5,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,2.0259051979955984,2.012737596000079,1.9951067719957791,1.983021842992457,1.006094198632268,0.0307984259998193,0.02971575300762197,1.0364343111857077,7596.0,7220.0,1.0520775623268699,1.2101617041793133e-08,0.0,0.0,0.0,1.2101617041793133e-08,0.0,-1.2101617041793133e-08,True
research_benchmark_pack_v1,2026-07-13_00-09-38,thesis_upmem_quantization_boundary,qrng_13q_thesis_upmem_supported,qrng,13,13,13,n_qubits,,0,upmem_tn_runtime,generic-only,True,True,True,5.973266533001151,5.93101123899396,5.558664406024036,5.604308290006884,0.991855572245332,0.4146021269771154,0.3267029489870765,1.2690492334475865,54604.0,53468.0,1.0212463529587792,4.8457006254776225e-09,3.469446951953614e-18,0.0,0.0,4.8457006254776225e-09,3.469446951953614e-18,-4.8457006220081755e-09,True
