schema_version,suite_id,case_id,case_family,benchmark_n_qubits,planner_id,optimize_mode,contraction_plan_hash,planning_time_s,task_count,tn_estimated_flops,tn_max_intermediate_bytes,total_host_to_dpu_bytes,total_dpu_to_host_bytes,total_mram_to_wram_bytes,tiling_required_task_count,estimated_total_tile_count,estimated_max_parallel_tiles,upmem_pressure_score,upmem_rank,flop_rank,parallelism_evidence_type,execution_plan_executed
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_10q_planner,bv,10,opt_einsum.greedy,greedy,43b91693aa8bcf6579bbba8a983ac392556ee9025df2ab3b114147bc66bb14db,0.0011155829997733235,38,22848,16384,648,5712,6360,0,38,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_12q_planner,bv,12,opt_einsum.auto,auto,2a64b11d6ee759f5a94069e4af6b12401ba7574b40ef946dece3203d4c3bde17,0.00135677499929443,46,76672,65536,992,19168,20160,0,46,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_12q_planner,bv,12,opt_einsum.greedy,greedy,6d7f1174905757595db38433c1b24ad3c5cc4ac6a3cb5eff4b828d89dc1e3885,0.0013386709979386069,46,76672,65536,992,19168,20160,0,46,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_14q_planner,bv,14,opt_einsum.auto,auto,5506bc420fc83d73647c58c0904ace7107a606f0972b09961f21a5fdb904f391,0.0016410850003012456,54,282048,262144,2360,70512,72872,1,57,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_14q_planner,bv,14,opt_einsum.greedy,greedy,ef25412d84d277edbbe7518fd3c31dbc3310ffca06f1cdc916bea10cd55f8e38,0.0016159679944394156,54,282048,262144,2360,70512,72872,1,57,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_16q_planner,bv,16,opt_einsum.auto,auto,9b1bab10924294d2b5be81564d5969066cb9e0ac23f9a3b519ee9e8577ff4ed9,0.0018803830025717616,62,1085440,1048576,10384,271360,281744,1,77,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_16q_planner,bv,16,opt_einsum.greedy,greedy,93fd7756420fe4bf6094bee3eb240511643b7d8e97e375bf6deb6ece71bb2283,0.0018539329976192676,62,1085440,1048576,10384,271360,281744,1,77,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_18q_planner,bv,18,opt_einsum.auto,auto,ead7ac59feaeebc0a2d591aaa2c1767a1bbd773ee6b55e376b46c6dea6d16764,0.002095915006066207,70,4264512,4194304,69352,1066128,1135480,1,133,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_18q_planner,bv,18,opt_einsum.greedy,greedy,0edb452be0633efbc0655e7a3315690449186085a0f95d1f943f9c64739dffa4,0.002169401996070519,70,4264512,4194304,69352,1066128,1135480,1,133,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_20q_planner,bv,20,opt_einsum.auto,auto,fd8cdf1b175b5a38dfdf31693fd94cfefb5522a36b12eb68c164edf9dd28297c,0.002385795996815432,78,16913536,16777216,531264,4228384,4759648,1,333,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_bv_20q_planner,bv,20,opt_einsum.greedy,greedy,8e16731384deb43e3708cd53048244d5a187891d5a14c0f70b7bee5e0e1262d6,0.0024863950020517223,78,16913536,16777216,531264,4228384,4759648,1,333,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_8q_planner,edc,8,opt_einsum.auto,auto,faaf2d2e42f5d6fa375669c87397acc1ff4f50319af2368203282cce1b35f143,0.0012637500040000305,37,26816,4096,1100,4208,5308,0,37,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_8q_planner,edc,8,opt_einsum.greedy,greedy,5989a9f1c11237a13a9b97b85ebc2b67e9cb0f68cb9b6e349def0c72c1c7e96b,0.001262778001546394,37,26816,4096,1100,4208,5308,0,37,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_10q_planner,edc,10,opt_einsum.auto,auto,35ad477bd6332322d05f7b2b182103a24ecd4bfa95f20fc1d830b5a2675a1ff6,0.0016199559977394529,47,62720,16384,1636,9088,10724,0,47,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_10q_planner,edc,10,opt_einsum.greedy,greedy,6f35692f01cedae3f31f3ab77dc5bc94c8f6af1fa56bb386eba3391ad9e6e2b2,0.0016166299974429421,47,62720,16384,1636,9088,10724,0,47,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_edc_12q_planner,edc,12,opt_einsum.auto,auto,419b716782bfb2bc831220139887a3aeab029c946fc456d7c98c5e13d643422d,0.0020000059957965277,57,203072,65536,3324,27792,31116,0,57,1,0.0,1,1,modeled,False
