schema_version,case_id,case_family,n_qubits,actual_n_qubits,benchmark_n_qubits,actual_n_qubits_source,actual_n_qubits_warning,repeat_id,cpu_route_id,gpu_route_id,timing_scope,state_output_mode,validation_method,performance_tier,cpu_total_wall_time_s,gpu_total_wall_time_s,wall_time_ratio_cpu_over_gpu,cpu_total_host_residual_time_s,gpu_total_host_residual_time_s,cpu_simulation_compute_time_s,gpu_simulation_compute_time_s,compute_speedup_cpu_over_gpu,gpu_device_name
research_benchmark_pack_v1,quest_bb84_16q_thesis_gpu,bb84,16,16,16,n_qubits,,0,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.05955856399668846,0.5521272450059769,0.1078710832247442,,,0.053358305,0.08181715,0.6521652856399911,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_16q_thesis_gpu,bb84,16,16,16,n_qubits,,1,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.053152360997046344,0.5513265879999381,0.09640812207129092,,,0.047651819,0.08156395,0.5842264750542366,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_16q_thesis_gpu,bb84,16,16,16,n_qubits,,2,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.05348896000214154,0.5500079240009654,0.0972512534238464,,,0.047964183,0.083922863,0.5715270104643594,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_16q_thesis_gpu,bb84,16,16,16,n_qubits,,3,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.08987945899571059,0.5520849559979979,0.16280005100525966,,,0.081954125,0.081974983,0.9997455565193591,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_16q_thesis_gpu,bb84,16,16,16,n_qubits,,4,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.05602284600172425,0.5477450350008439,0.10227905763059619,,,0.050602044,0.081042051,0.6243924404134342,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_18q_thesis_gpu,bb84,18,18,18,n_qubits,,0,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.1953137640011846,0.5846297989992308,0.3340810959953165,,,0.188567063,0.10633111,1.7733950393257438,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_18q_thesis_gpu,bb84,18,18,18,n_qubits,,1,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.190795809001429,0.5752805349984556,0.3316569871461777,,,0.18442958,0.106944084,1.7245421448464604,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_18q_thesis_gpu,bb84,18,18,18,n_qubits,,2,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.26336274800269166,0.5826138529955642,0.4520365361183693,,,0.257024442,0.109549999,2.346183882667128,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_18q_thesis_gpu,bb84,18,18,18,n_qubits,,3,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.28176412399625406,0.5792705029962235,0.4864120001602964,,,0.274596797,0.105702162,2.597835198489128,AMD Radeon RX 6600 (gfx1032)
research_benchmark_pack_v1,quest_bb84_18q_thesis_gpu,bb84,18,18,18,n_qubits,,4,quest_cpu_full_state_exact,quest_gpu_full_state_exact,performance_compute,none,native_status_gate_counts,True,0.22342324600322172,0.5858993939982611,0.3813338062675737,,,0.217293348,0.110061884,1.974283376795549,AMD Radeon RX 6600 (gfx1032)
