cell_id,circuit_id,topology_id,candidate_path_id,score,score_rank,runtime_median_s,runtime_raw_mad_s,runtime_min_s,runtime_max_s,is_greedy,is_profile_selected,is_fastest_measured,profile_selected_rank,spearman_score_runtime,flops,peak_intermediate_elements,total_intermediate_writes
ghz_chain_18q:1dpu_t8,ghz_chain_18q,1dpu_t8,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,0.0,6,5.9233692469970265,0.004561906996968901,5.918807340000058,6.018620187001943,True,False,False,1,0.9428571428571428,1748632.0,131072.0,175014.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0,-0.6889648675532345,1,0.8961054019964649,0.002513862003979739,0.8713725269990391,0.8986192640004447,False,True,True,1,0.9428571428571428,1059160.0,1024.0,2646.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4,-0.6872578650384288,2,0.9088692170007562,0.004436314000486163,0.90443290300027,1.0733952230002615,False,False,False,1,0.9428571428571428,1061144.0,2048.0,3142.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,70e093aa7774e13885fc1dd7ad3acb7d0a2b9bea8a067289a654fbe18566a8c5,-0.6474639253458431,3,1.0240648760009208,0.0006344860012177378,1.0170737250009552,1.0246993620021385,False,False,False,1,0.9428571428571428,1092960.0,8192.0,11096.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,a0f7fec9778137270204333fdde142b735188034c201a7c229136e14b6f96692,-0.643256598180351,4,0.9600939199990535,0.002210733000538312,0.9578831869985152,0.9663363110012142,False,False,False,1,0.9428571428571428,1090672.0,2048.0,10524.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,b7a92f1a28cbacfef1575a0b571b79cdc92dded09222a5581a765ab352fd9637,-0.48390784087686706,5,1.687631587999931,0.023051287997077452,1.4357604020005965,1.7106828759970085,False,False,False,1,0.9428571428571428,1216608.0,16384.0,42008.0
ghz_chain_18q:4dpu_t8,ghz_chain_18q,4dpu_t8,0f1afe2ce698cbfcd1496d867ba787cb5cdd487ef3b05e9bb140d58eee826743,0.0,6,3.3269136039998557,0.015159654001763556,3.311753949998092,3.361672469000041,True,False,False,1,0.9428571428571428,1748632.0,131072.0,175014.0
hs_18q_d1:1dpu_t8,hs_18q_d1,1dpu_t8,bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8,0.0,1,1.3739745780003432,0.0049369959997420665,1.369037582000601,1.580407125002239,True,True,True,1,-0.08571428571428572,527824.0,1024.0,1588.0
hs_18q_d1:1dpu_t8,hs_18q_d1,1dpu_t8,0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e,1.0673305523858326e-07,2,1.406310622998717,0.004735405003884807,1.376440181000362,1.4110460280026018,False,False,False,1,-0.08571428571428572,527824.0,1024.0,1588.0
hs_18q_d1:1dpu_t8,hs_18q_d1,1dpu_t8,93535be1f45b148a1b3d81d74e0185ffb0339853e6877aa2080426e1339bf13c,0.00047247929577870463,3,1.3981899440004781,0.0023745569997117855,1.3794898460000695,1.40056450100019,False,False,False,1,-0.08571428571428572,528104.0,1024.0,1658.0
