algo,paper_algo,result_label,input_qubits,allocated_qubits,depth,threads,status,success_count,fail_count,skipped_count,repeat_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_mean_j,energy_min_j,energy_max_j,energy_stdev_j,energy_source,one_qubit_gates,two_qubit_gates
HS,HS_2n,HS/HS_2n,4,8,0,1,ok,3,0,0,3,0.000199673,0.00019815666666666667,0.000194603,0.000200194,3.0885709208844997e-06,0.0,0.015680333333333334,0.0,0.047041,0.027159134012949185,rapl_measured,24,8
HS,HS_2n,HS/HS_2n,5,10,0,1,ok,3,0,0,3,0.000283579,0.00028177266666666665,0.000276176,0.000285563,4.947329818531754e-06,0.0,0.015431,0.0,0.046293,0.026727276011595344,rapl_measured,30,10
HS,HS_2n,HS/HS_2n,6,12,0,1,ok,3,0,0,3,0.000521634,0.0005205253333333334,0.000517015,0.000522927,3.1080206455770517e-06,0.0,0.016473666666666668,0.0,0.049421,0.028533227653620496,rapl_measured,36,12
HS,HS_2n,HS/HS_2n,7,14,0,1,ok,3,0,0,3,0.001491715,0.0014927403333333334,0.001487337,0.001499169,5.982268577499138e-06,0.091853,0.08087766666666667,0.047803,0.102977,0.02917851993047854,rapl_measured,42,14
HS,HS_2n,HS/HS_2n,8,16,0,1,ok,3,0,0,3,0.005947594,0.005933705,0.005903011,0.00595051,2.662173906791224e-05,0.297592,0.29400633333333337,0.285065,0.299362,0.00779383130003039,rapl_measured,48,16
QRNG,QRNG_n,QRNG/QRNG_n,4,4,0,1,ok,3,0,0,3,4.9192e-05,4.9502333333333335e-05,4.9101e-05,5.0214e-05,6.179986515627121e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,4,0
QRNG,QRNG_n,QRNG/QRNG_n,6,6,0,1,ok,3,0,0,3,5.6705e-05,5.820166666666667e-05,5.6655e-05,6.1245e-05,2.6357225448315564e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,6,0
QRNG,QRNG_n,QRNG/QRNG_n,8,8,0,1,ok,3,0,0,3,6.7305e-05,6.685166666666667e-05,6.5703e-05,6.7547e-05,1.0021064481048519e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,0
QRNG,QRNG_n,QRNG/QRNG_n,10,10,0,1,ok,3,0,0,3,8.6201e-05,8.6338e-05,8.594e-05,8.6873e-05,4.813512231209208e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,10,0
QRNG,QRNG_n,QRNG/QRNG_n,12,12,0,1,ok,3,0,0,3,0.000152946,0.00015333633333333333,0.000149308,0.000157755,4.237006293756646e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,12,0
QRNG,QRNG_n,QRNG/QRNG_n,14,14,0,1,ok,3,0,0,3,0.000422138,0.0004208486666666667,0.000414624,0.000425784,5.690622578710827e-06,0.0,0.016814333333333334,0.0,0.050443,0.029123279628732294,rapl_measured,14,0
QRNG,QRNG_n,QRNG/QRNG_n,16,16,0,1,ok,3,0,0,3,0.001635915,0.0016343183333333332,0.001630755,0.001636285,3.091477532399844e-06,0.086482,0.086635,0.083324,0.090099,0.003390090411773705,rapl_measured,16,0
XOR,XOR_n,XOR/XOR_n,4,4,0,1,ok,3,0,0,3,4.9122e-05,4.9302e-05,4.9001e-05,4.9783e-05,4.2092873506093636e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,3
XOR,XOR_n,XOR/XOR_n,6,6,0,1,ok,3,0,0,3,6.1515e-05,6.318766666666667e-05,6.1414e-05,6.6634e-05,2.985039419058537e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,5
XOR,XOR_n,XOR/XOR_n,8,8,0,1,ok,3,0,0,3,7.495e-05,7.591533333333333e-05,7.481e-05,7.7986e-05,1.7946156505874234e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,7
XOR,XOR_n,XOR/XOR_n,10,10,0,1,ok,3,0,0,3,9.4426e-05,9.658333333333333e-05,9.3254e-05,0.00010207,4.787591182769616e-06,0.0,0.015593666666666667,0.0,0.046781,0.027009022942959884,rapl_measured,0,9
XOR,XOR_n,XOR/XOR_n,12,12,0,1,ok,3,0,0,3,0.000137587,0.00013776033333333333,0.000137076,0.000138618,7.854771373715011e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,11
XOR,XOR_n,XOR/XOR_n,14,14,0,1,ok,3,0,0,3,0.000302305,0.00030204433333333333,0.000298708,0.00030512,3.2139378235014477e-06,0.046293,0.04484866666666667,0.041563,0.04669,0.0028523860771875412,rapl_measured,0,13
XOR,XOR_n,XOR/XOR_n,16,16,0,1,ok,3,0,0,3,0.000994918,0.0010074243333333334,0.000994557,0.001032798,2.197498123624523e-05,0.045774,0.044055333333333335,0.0399,0.046492,0.003616486877251643,rapl_measured,0,15
