algo,paper_algo,result_label,input_qubits,allocated_qubits,depth,threads,status,success_count,fail_count,skipped_count,repeat_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_mean_j,energy_min_j,energy_max_j,energy_stdev_j,energy_source,one_qubit_gates,two_qubit_gates
BB84,BB_n,BB84/BB_n,4,4,0,1,ok,3,0,0,3,7.7434e-05,8.918666666666666e-05,6.7677e-05,0.000122449,2.9216209136938585e-05,0.0,0.020415333333333334,0.0,0.061246,0.03536039458678782,rapl_measured,8,0
BB84,BB_n,BB84/BB_n,6,6,0,1,ok,3,0,0,3,0.000144029,0.000136829,0.000114323,0.000152135,1.990770795445824e-05,0.0,0.018029666666666666,0.0,0.054089,0.031228298710197666,rapl_measured,12,0
BB84,BB_n,BB84/BB_n,8,8,0,1,ok,3,0,0,3,0.000109855,0.00011060699999999999,0.000107622,0.000114344,3.4235141302468764e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,16,0
BB84,BB_n,BB84/BB_n,10,10,0,1,ok,3,0,0,3,0.000148107,0.00014938566666666665,0.000147225,0.000152825,3.0110199822208625e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,20,0
BB84,BB_n,BB84/BB_n,12,12,0,1,ok,3,0,0,3,0.000279161,0.000282401,0.000278701,0.000289341,6.014615532184899e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,24,0
BB84,BB_n,BB84/BB_n,14,14,0,1,ok,3,0,0,3,0.000823118,0.0008281276666666666,0.000822568,0.000838697,9.157441254702853e-06,0.043058,0.031269,0.0,0.050749,0.027351428500171613,rapl_measured,28,0
BB84,BB_n,BB84/BB_n,16,16,0,1,ok,3,0,0,3,0.003238483,0.0032510566666666667,0.003222854,0.003291833,3.6167643416918155e-05,0.135613,0.133889,0.125329,0.140725,0.007841449865936783,rapl_measured,32,0
BV,BV_n,BV/BV_n,4,4,0,1,ok,3,0,0,3,8.7263e-05,8.725633333333333e-05,8.6281e-05,8.8225e-05,9.720171466251716e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,3
BV,BV_n,BV/BV_n,6,6,0,1,ok,3,0,0,3,0.000114033,0.00011503166666666666,0.000113532,0.00011753,2.178073078051636e-06,0.0,0.015441333333333333,0.0,0.046324,0.02674517386994022,rapl_measured,12,5
BV,BV_n,BV/BV_n,8,8,0,1,ok,3,0,0,3,0.000149239,0.000149189,0.000147205,0.000151123,1.9594785020509916e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,16,7
BV,BV_n,BV/BV_n,10,10,0,1,ok,3,0,0,3,0.000207247,0.00020901733333333333,0.000206486,0.000213319,3.744733946935798e-06,0.0,0.014586666666666666,0.0,0.04376,0.025264847779738024,rapl_measured,20,9
BV,BV_n,BV/BV_n,12,12,0,1,ok,3,0,0,3,0.000377365,0.000379803,0.000375181,0.000386863,6.210890757371277e-06,0.0,0.016021,0.0,0.048063,0.027749185988060983,rapl_measured,24,11
BV,BV_n,BV/BV_n,14,14,0,1,ok,3,0,0,3,0.001109253,0.0014031993333333333,0.001067355,0.00203299,0.000545816886388039,0.04791,0.060116333333333334,0.040571,0.091868,0.02774151189703498,rapl_measured,28,13
BV,BV_n,BV/BV_n,16,16,0,1,ok,3,0,0,3,0.004197446,0.00439579,0.004181466,0.004808458,0.0003574702767615792,0.193426,0.19737766666666667,0.173285,0.225422,0.02629217458357779,rapl_measured,32,15
EDC,EDC_n,EDC/EDC_n,4,4,0,1,ok,3,0,0,3,0.00010701,0.00010725699999999999,0.000106489,0.000108272,9.168036867290593e-07,0.043577,0.030236333333333334,0.0,0.047132,0.026245692910139243,rapl_measured,8,6
EDC,EDC_n,EDC/EDC_n,6,6,0,1,ok,3,0,0,3,0.000147606,0.00015076833333333334,0.000146714,0.000157985,6.265710201831343e-06,0.044203,0.030948666666666666,0.0,0.048643,0.026894114157810317,rapl_measured,12,10
EDC,EDC_n,EDC/EDC_n,8,8,0,1,ok,3,0,0,3,0.000200204,0.00019971333333333334,0.000198211,0.000200725,1.3268814315278185e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,16,14
EDC,EDC_n,EDC/EDC_n,10,10,0,1,ok,3,0,0,3,0.000278711,0.00028436166666666665,0.000276116,0.000298258,1.2104320151637297e-05,0.0,0.015939666666666668,0.0,0.047819,0.027608312522378716,rapl_measured,20,18
EDC,EDC_n,EDC/EDC_n,12,12,0,1,ok,3,0,0,3,0.000493963,0.0005184556666666667,0.000488964,0.00057244,4.681857200228699e-05,0.047376,0.04610966666666667,0.043134,0.047819,0.0025865046555792895,rapl_measured,24,22
EDC,EDC_n,EDC/EDC_n,14,14,0,1,ok,3,0,0,3,0.001354742,0.0013859976666666667,0.001335938,0.001467313,7.104600749045182e-05,0.04669,0.04568233333333333,0.043546,0.046811,0.0018511078664770811,rapl_measured,28,26
EDC,EDC_n,EDC/EDC_n,16,16,0,1,ok,3,0,0,3,0.005181585,0.0051927326666666666,0.005178159,0.005218454,2.234109689190162e-05,0.238574,0.24221033333333333,0.222919,0.265138,0.021343106154759497,rapl_measured,32,30
HS,HS_2n,HS/HS_2n,2,4,0,1,ok,3,0,0,3,0.000111329,0.00011162233333333333,0.000110757,0.000112781,1.0433970161608374e-06,0.042005,0.029427333333333333,0.0,0.046277,0.025574175574851546,rapl_measured,12,4
HS,HS_2n,HS/HS_2n,3,6,0,1,ok,3,0,0,3,0.000150031,0.000158603,0.00014993,0.000175848,1.4934693468565062e-05,0.043089,0.029473333333333334,0.0,0.045331,0.025549259760966333,rapl_measured,18,6
HS,HS_2n,HS/HS_2n,4,8,0,1,ok,3,0,0,3,0.000199964,0.00021481466666666666,0.000194663,0.000249817,3.0428566419293122e-05,0.0,0.015731,0.0,0.047193,0.027246891253866007,rapl_measured,24,8
HS,HS_2n,HS/HS_2n,5,10,0,1,ok,3,0,0,3,0.000275786,0.00027659366666666664,0.000274653,0.000279342,2.4466148722946702e-06,0.0,0.014240666666666667,0.0,0.042722,0.024665558200319192,rapl_measured,30,10
HS,HS_2n,HS/HS_2n,6,12,0,1,ok,3,0,0,3,0.000523378,0.0005240196666666667,0.000522998,0.000525683,1.4529653586143433e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,36,12
HS,HS_2n,HS/HS_2n,7,14,0,1,ok,3,0,0,3,0.001517336,0.001546881,0.001510072,0.001613235,5.7578914638954374e-05,0.050031,0.06767433333333334,0.04701,0.105982,0.033209781756785656,rapl_measured,42,14
HS,HS_2n,HS/HS_2n,8,16,0,1,ok,3,0,0,3,0.005932028,0.005945730333333333,0.005930375,0.005974788,2.5178246490439667e-05,0.317077,0.3076216666666667,0.281205,0.324583,0.023183296084321875,rapl_measured,48,16
QRNG,QRNG_n,QRNG/QRNG_n,4,4,0,1,ok,3,0,0,3,4.818e-05,4.8006333333333335e-05,4.7388e-05,4.8451e-05,5.523697433181271e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,4,0
QRNG,QRNG_n,QRNG/QRNG_n,6,6,0,1,ok,3,0,0,3,5.7367e-05,5.7424e-05,5.7257e-05,5.7648e-05,2.0163581031156288e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,6,0
QRNG,QRNG_n,QRNG/QRNG_n,8,8,0,1,ok,3,0,0,3,7.0642e-05,7.029133333333333e-05,6.937e-05,7.0862e-05,8.05444804647308e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,0
QRNG,QRNG_n,QRNG/QRNG_n,10,10,0,1,ok,3,0,0,3,8.573e-05,8.563666666666666e-05,8.5079e-05,8.6101e-05,5.173531997903641e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,10,0
QRNG,QRNG_n,QRNG/QRNG_n,12,12,0,1,ok,3,0,0,3,0.000156622,0.00015508633333333335,0.000147696,0.000160941,6.754717635351853e-06,0.0,0.017272,0.0,0.051816,0.02991598154832965,rapl_measured,12,0
QRNG,QRNG_n,QRNG/QRNG_n,14,14,0,1,ok,3,0,0,3,0.000416338,0.00041816133333333333,0.000415927,0.000422219,3.52004606977427e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,14,0
QRNG,QRNG_n,QRNG/QRNG_n,16,16,0,1,ok,3,0,0,3,0.001624767,0.0016246066666666668,0.001624056,0.001624997,4.905612432034589e-07,0.082333,0.07496266666666666,0.041685,0.10087,0.030273047688221505,rapl_measured,16,0
XOR,XOR_n,XOR/XOR_n,4,4,0,1,ok,3,0,0,3,4.9823e-05,4.975966666666667e-05,4.8711e-05,5.0745e-05,1.0184779493603848e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,3
XOR,XOR_n,XOR/XOR_n,6,6,0,1,ok,3,0,0,3,6.3359e-05,8.372e-05,6.1425e-05,0.000126376,3.695383391476452e-05,0.0,0.019952333333333332,0.0,0.059857,0.03455845506288343,rapl_measured,0,5
XOR,XOR_n,XOR/XOR_n,8,8,0,1,ok,3,0,0,3,7.8266e-05,7.807266666666666e-05,7.6684e-05,7.9268e-05,1.3028036434295594e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,7
XOR,XOR_n,XOR/XOR_n,10,10,0,1,ok,3,0,0,3,9.4437e-05,9.551533333333333e-05,9.3765e-05,9.8344e-05,2.472632672544257e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,9
XOR,XOR_n,XOR/XOR_n,12,12,0,1,ok,3,0,0,3,0.000140864,0.000142984,0.000138038,0.00015005,6.280353174782443e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,11
XOR,XOR_n,XOR/XOR_n,14,14,0,1,ok,3,0,0,3,0.000303878,0.00030531066666666663,0.000297325,0.000314729,8.790005934772358e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,0,13
XOR,XOR_n,XOR/XOR_n,16,16,0,1,ok,3,0,0,3,0.001020217,0.0010472906666666667,0.001017962,0.001103693,4.885886470573516e-05,0.053709,0.060574666666666666,0.042555,0.08546,0.02226123964053514,rapl_measured,0,15
