case_id,route,n_qubits,depth,status,passed_count,failed_count,skipped_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_source,skip_reason,error
bv_6q,cpu_exact_tn,6,15,passed,2,0,0,0.001577278999320697,0.001577278999320697,0.0015203020011540502,0.0016342559974873438,8.057764355057889e-05,,unavailable,,
qrng_3q,cpu_exact_tn,3,3,passed,2,0,0,0.00042084199958480895,0.00042084199958480895,0.0003782169987971429,0.000463467000372475,6.0280854210081215e-05,,unavailable,,
qrng_5q,cpu_exact_tn,5,5,passed,2,0,0,0.0005678569978044834,0.0005678569978044834,0.0005591659974015784,0.0005765479982073884,1.2290930640378352e-05,,unavailable,,
