circuit_id,logical_plan_id,node_index,node_id,operand_a_shape,operand_b_shape,output_shape,B,M,N,K,operand_a_scale,operand_b_scale,operand_a_max_abs_component,operand_b_max_abs_component,operand_a_encoded_element_count,operand_b_encoded_element_count,operand_a_q_real_min,operand_a_q_real_max,operand_a_q_imag_min,operand_a_q_imag_max,operand_b_q_real_min,operand_b_q_real_max,operand_b_q_imag_min,operand_b_q_imag_max,operand_a_zero_count,operand_b_zero_count,operand_a_clipping_count,operand_b_clipping_count,operand_a_saturation_at_boundary_count,operand_b_saturation_at_boundary_count,int32_theoretical_accumulator_bound,int32_accumulator_safe,local_output_max_abs_error_vs_same_node_float32,local_output_relative_l2_vs_same_node_float32,local_output_norm_drift_vs_same_node_float32,cumulative_output_max_abs_error_vs_same_node_float32,cumulative_output_relative_l2_vs_same_node_float32,cumulative_output_norm_drift_vs_same_node_float32,theoretical_local_error_bound,observed_local_error,rounding_bound_applicable,logical_encoded_bytes,corresponding_float32_complex_bytes,nominal_compression_ratio,scale_metadata_bytes,quantized_complex_values,scalar_components_quantized,scale_computation_count,quantization_event_count,requantization_event_count,dequantized_output_elements,four_real_products_per_complex_product,integer_multiply_accumulate_count
bell2,4d6277f945adc1d4ad6b87df86909ed6670979f8d6decc099fde3dc074fc847a,0,contract_0,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.007874015748031496,0.007874015748031496,1.0,1.0,2,16,0,127,0,0,0,127,0,0,3,28,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.03801911121847394,1.5700924586837752e-16,true,52,144,2.769230769230769,16,18,36,2,2,0,8,4,64
bell2,4d6277f945adc1d4ad6b87df86909ed6670979f8d6decc099fde3dc074fc847a,1,contract_1,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
bell2,4d6277f945adc1d4ad6b87df86909ed6670979f8d6decc099fde3dc074fc847a,2,contract_2,"[2,2,2]",[2],"[2,2]",1,4,1,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,8,2,0,127,0,0,127,127,0,0,14,2,0,0,2,2,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.023622046839820367,0.0,true,36,80,2.2222222222222223,16,10,20,2,2,2,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,0,contract_0,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,1,contract_1,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,2,contract_10,"[2,2]","[2,2]","[2,2]",1,2,2,2,0.0055677698353144124,0.0076765976552888165,0.7071067690849304,0.9749279022216797,4,4,-127,127,0,0,0,127,-29,29,4,4,0,0,4,2,64516,true,7.098913192749023e-05,0.00010039379412773997,3.159046173095703e-05,7.098913192749023e-05,0.00010039379412773997,3.159046173095703e-05,0.02648873460684511,0.00014198625883671268,true,32,64,2.0,16,8,16,2,2,0,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,3,contract_11,"[2,2]","[2,2]","[2,2]",1,2,2,2,0.0055677698353144124,0.007488634173325666,0.7071067690849304,0.9510565400123596,4,4,-127,127,0,0,0,127,-41,41,4,4,0,0,4,2,64516,true,0.0014021992683410645,0.0019830092787742615,0.0008640289306640625,0.0014021992683410645,0.0019830092787742615,0.0008640289306640625,0.026112808040375798,0.0028043875338496504,true,32,64,2.0,16,8,16,2,2,0,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,4,contract_12,"[2,2]","[2,2]","[2,2]",1,2,2,2,0.0055677698353144124,0.0068190975452032615,0.7071067690849304,0.8660253882408142,4,4,-127,127,0,0,0,127,-73,73,4,4,0,0,4,2,64516,true,0.0015597939491271973,0.0022058819886296988,0.0015571117401123047,0.0015597939491271973,0.0022058819886296988,0.0015571117401123047,0.02477373437773015,0.0031195842284363895,true,32,64,2.0,16,8,16,2,2,0,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,5,contract_13,"[2,2]","[2,2]","[2,2]",1,2,2,2,0.0055677698353144124,0.007274641765384223,0.7071067690849304,0.9238795042037964,4,4,-127,127,0,0,0,127,-53,53,4,4,0,0,4,2,64516,true,0.0020312070846557617,0.0028725608717650175,0.001559615135192871,0.0020312070846557617,0.0028725608717650175,0.001559615135192871,0.025684822634652237,0.004062452024066854,true,32,64,2.0,16,8,16,2,2,0,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,6,contract_14,"[2,2,2,2]","[2,2]","[2,2,2,2]",1,8,2,2,0.007874015748031496,0.0068190975452032615,1.0,0.8660253882408142,16,4,0,127,0,0,0,127,-73,73,28,4,0,0,4,2,64516,true,0.002205878496170044,0.002205878496170044,0.002202272415161133,0.002205878496170044,0.002205878496170044,0.002202272415161133,0.05078338303129508,0.0044117584003238175,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
