case_id,route,n_qubits,depth,status,passed_count,failed_count,skipped_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_source,skip_reason,error
bb84_6q,cpu_exact_tn,6,8,passed,3,0,0,0.0008143939994624816,0.0008109210005689723,0.0008017809996090364,0.0008165880026353989,7.99112793299011e-06,0.049146,"rapl_measured,rapl_zero_or_too_short",,
bb84_6q,quest_full_state,6,8,passed,3,0,0,0.00489111199931358,0.006778376665655135,0.004881243999989238,0.010562773997662589,0.00327738794152165,,rapl_measured,,
bv_5q,cpu_exact_tn,5,12,passed,3,0,0,0.0012023400013276841,0.0011965960002271459,0.001183283999125706,0.0012041640002280474,1.1564548110094175e-05,0.052411,"rapl_measured,rapl_zero_or_too_short",,
bv_5q,quest_full_state,5,12,passed,3,0,0,0.013287713001773227,0.011412668334135864,0.005421104000561172,0.01552918800007319,0.005308501192853234,,rapl_measured,,
qrng_4q,cpu_exact_tn,4,4,passed,3,0,0,0.00048262299969792366,0.0004813339995356121,0.0004783949989359826,0.0004829839999729302,2.5516413723534626e-06,0.049596,"rapl_measured,rapl_zero_or_too_short",,
qrng_4q,quest_full_state,4,4,passed,3,0,0,0.00469916300062323,0.00663108433339706,0.004631866999261547,0.010562223000306403,0.0034046322270991536,,rapl_measured,,
