schema_version,suite_id,case_id,route_id,backend_id,hardware_profile_version,execution_class,kernel_strategy,repeat_count,completed_count,validation_passed_count,exact_integer_match_count,hardware_execution_count,hardware_allocation_verified_count,no_simulator_fallback_count,no_cpu_fallback_count,requested_dpu_count,allocated_dpu_count,tasklets_per_dpu,application_visible_h2d_bytes_median,application_visible_d2h_bytes_median,application_visible_transfer_bytes_median,timing_scope,hardware_speedup_applicable,functionality_evidence_status
research_benchmark_pack_v1,upmem_hardware_mvp,dense_l1_2x2,upmem_dense_l1_int8_hardware_mvp,upmem_sdk_hardware_dense,hardware_mvp_l1_v2,L1_WRAM,l1_direct_int8_int32_v1,5,5,5,5,5,5,5,5,1,1,1,72.0,64.0,136.0,hardware_bringup_functionality_only,False,passed
research_benchmark_pack_v1,upmem_hardware_mvp,dense_l1_4x4,upmem_dense_l1_int8_hardware_mvp,upmem_sdk_hardware_dense,hardware_mvp_l1_v2,L1_WRAM,l1_direct_int8_int32_v1,5,5,5,5,5,5,5,5,1,1,1,72.0,64.0,136.0,hardware_bringup_functionality_only,False,passed
