circuit_id,split,topology_id,candidate_path_id,equal_weight_rank,equal_weight_score,feature_model
quantization_stress_18q_l2,training,4dpu_t8,7f93884834800c56baa8aed802f21b0a701a647ebb392faf278bd8ae2ffc7c82,14,-0.5241078812715296,grouped
quantization_stress_18q_l2,training,4dpu_t8,b26bd9ab2fdaedbb429b749d84513e8ac275b27b1d8965ac3dc9fca7fc93e886,15,-0.523570189244621,grouped
quantization_stress_18q_l2,training,4dpu_t8,03b7dbe6baa07aa85628f1a8ef6526319e6f57aa4227d2b391883d448cedeb84,16,-0.5207327255316169,grouped
quantization_stress_18q_l2,training,4dpu_t8,bf4803eb35a6808716fb62d7d219472484129fa7be250b1f6aa8a6c48afb43c3,17,-0.5165846834003558,grouped
quantization_stress_18q_l2,training,4dpu_t8,e7f2ad3aef247ff4d7f2b7374966596ab24e96aa1fabd13234cbaebecab85d65,18,-0.4835745153016042,grouped
quantization_stress_18q_l2,training,4dpu_t8,2eb807e063945083b04ae8fe3a72afca4e2a2b97d37dc739805c462caa388747,19,-0.27790559538211435,grouped
quantization_stress_18q_l2,training,4dpu_t8,b9ba7e7f9f7faa942ecf55bc10c6f9a9488b0e3dcf87233bed822bea2416c816,20,0.0,grouped
hs_18q_d1,training,1dpu_t8,0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e,1,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,19acd1bd9731ab28eca531242aec4d3e70963dbda11c22f831f7d12107f1bba1,2,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,24e70ef17399e4f889ac932324033e6f3144e7a030ba21bdc60b204d8d33e95a,3,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,3133ac8b8653bd9a2836b06abb2d78b12e15c04ff98452d21089fc42be4d99fb,4,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,49c65e6bca2e373969eb39b6d87f607054087abd332fe99835d891e7015b945e,5,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,5d4914ee34940dc0a4061f0fc85ec8b47eb872aa8136e6386c6998f0b85af4f4,6,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,6cc1fbf9628e8fd0bcbefe173538490d412aef1c8a43103ed028d4c5702ea55f,7,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,811eafa49b9bde8b081f3d44b231491c6f0f96900fdef6cafa54183511bfdd4a,8,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,8e173dd63ac492833a648825f1b9d9fb7f0c37ac06f6fd4ddb22286029c7be88,9,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,c26c5a59c0d388d0e4b5b890be80ff3e816ada087431310890ce64924b4baa87,10,-0.0014225602377090506,grouped
hs_18q_d1,training,1dpu_t8,8572ab5dbde1b831082754c24f0a83bdda7a1d679409acc6abe601b6dd149e54,11,-0.0013566764294558839,grouped
hs_18q_d1,training,1dpu_t8,8a89ab2cf7e9303479b087cd735682976d8fba9ddd91776c468621491a5c3b90,12,-0.0013129975264795576,grouped
hs_18q_d1,training,1dpu_t8,6b7fe6f9dbf73e2b8ba125cf5146ff55cbece0617f569153203752791b435ff2,13,-0.0012967087424581739,grouped
hs_18q_d1,training,1dpu_t8,93535be1f45b148a1b3d81d74e0185ffb0339853e6877aa2080426e1339bf13c,14,-0.0011026603617545422,grouped
